Designator,Mid X,Mid Y,Rotation,Layer
C1,79.78,-100.93,180.0,top
C10,91.91,-95.77,90.0,top
C11,84.29,-90.92,90.0,top
C12,77.87,-96.23,180.0,top
C13,87.07,-105.46,270.0,top
C14,83.34,-90.92,90.0,top
C15,87.3,-114.15,0.0,top
C2,80.49,-103.33,270.0,top
C20,103.26,-101.49,270.0,top
C21,86.19,-87.81,180.0,top
C22,89.06,-84.81,90.0,top
C3,81.45,-103.34,270.0,top
C4,77.03,-114.19,180.0,top
C5,70.79,-122.63,180.0,top
C6,79.79,-101.92,180.0,top
C7,86.11,-105.47,270.0,top
C8,86.58,-106.88,0.0,top
C9,89.87,-100.42,0.0,top
J1,83.965,-123.24,0.0,top
J2,73.08,-98.32,180.0,top
J3,79.35,-78.23,0.0,top
R1,78.95,-81.19,90.0,top
R2,77.34,-123.09,270.0,top
R3,90.4,-123.19,270.0,top
R4,95.2425,-99.495,0.0,top
R6,84.33,-87.85,0.0,top
R7,84.33,-105.315,270.0,top
R8,82.83,-105.315,270.0,top
SW1,97.29,-116.97,270.0,top
SW2,73.36,-78.72,180.0,top
U1,84.7825,-97.44,270.0,top
U2,84.5,-114.1825,270.0,top
U3,74.18,-118.3025,0.0,top
U4,97.9,-102.88,270.0,top
U5,104.64,-86.91,270.0,top
Y1,86.46,-85.6,0.0,top
